,tmp36,mcp9808
timestamp,temperature C,temperature C
328.00343012809753,-16.676520270270267,-12.375
329.0059440135956,-17.19911317567567,-12.3125
330.00348019599915,-16.93781672297297,-12.375
331.00440311431885,-16.93781672297297,-12.3125
332.0029661655426,-17.112014358108105,-12.375
333.00438117980957,-17.373310810810807,-12.4375
334.0014250278473,-17.286211993243242,-12.5625
335.0021290779114,-17.286211993243242,-12.5
336.0005450248718,-17.373310810810807,-12.5
337.0034329891205,-17.373310810810807,-12.5625
338.0035901069641,-17.286211993243242,-12.5625
339.00211215019226,-17.286211993243242,-12.6875
340.00074100494385,-17.373310810810807,-12.6875
341.00321197509766,-16.50232263513513,-12.75
342.00269508361816,-17.46040962837838,-12.8125
343.0047981739044,-17.373310810810807,-12.8125
344.0052840709686,-17.808804898648646,-12.8125
345.0040111541748,-17.547508445945944,-12.9375
346.00646901130676,-17.46040962837838,-12.875
347.0023760795593,-17.46040962837838,-12.9375
348.00526905059814,-17.808804898648646,-13.0
349.0010039806366,-17.19911317567567,-13.0
350.0016679763794,-17.895903716216218,-13.0
351.00350308418274,-17.19911317567567,-13.0
352.00562810897827,-17.895903716216218,-13.0625
353.00267815589905,-17.547508445945944,-13.0625
354.00169920921326,-17.808804898648646,-13.125
355.0006980895996,-17.63460726351351,-13.1875
356.0037250518799,-17.63460726351351,-13.1875
357.00413703918457,-17.72170608108108,-13.1875
358.0035240650177,-17.63460726351351,-13.1875
359.000253200531,-17.547508445945944,-13.25
360.00408816337585,-17.808804898648646,-13.25
361.0028669834137,-17.808804898648646,-13.3125
362.00057911872864,-17.983002533783782,-13.3125
363.00241708755493,-17.808804898648646,-13.3125
364.00441813468933,-17.112014358108105,-13.375
365.00310707092285,-17.895903716216218,-13.4375
366.00544905662537,-17.983002533783782,-13.4375
367.00308108329773,-17.72170608108108,-13.5
368.0034680366516,-18.15720016891892,-13.5625
369.0059289932251,-18.33139780405405,-13.5625
370.0022931098938,-18.15720016891892,-13.5625
371.0035820007324,-18.070101351351347,-13.5625
372.00461411476135,-17.895903716216218,-13.6875
